,date,factor_indicator,y
618,2017-08-11,27607.769,0
619,2017-08-14,25516.165,0
620,2017-08-15,28025.7231,0
621,2017-08-16,25413.809,1
622,2017-08-17,25439.135,1
623,2017-08-18,27019.96,1
624,2017-08-21,23369.536,1
625,2017-08-22,28020.8566,1
626,2017-08-23,28895.598,0
627,2017-08-24,29066.049,0
628,2017-08-25,28578.988,1
629,2017-08-28,29451.288,1
630,2017-08-29,29536.368,1
631,2017-08-30,29400.936,1
632,2017-08-31,29477.131,1
633,2017-09-01,29647.054,1
634,2017-09-04,27159.5,1
635,2017-09-05,21756.717,0
636,2017-09-06,26202.518,0
637,2017-09-07,27196.281,0
638,2017-09-08,27487.411,0
639,2017-09-11,27246.475,0
640,2017-09-12,26593.403,0
641,2017-09-13,25174.3455,0
642,2017-09-14,27081.4629,0
643,2017-09-15,22486.5267,1
644,2017-09-18,23221.1167,1
645,2017-09-19,24219.2424,1
646,2017-09-20,25979.1575,0
647,2017-09-21,27234.3132,0
648,2017-09-22,29460.3155,0
649,2017-09-25,25889.0334,0
650,2017-09-26,29596.7137,0
651,2017-09-27,29670.7686,0
652,2017-09-28,30796.9172,0
653,2017-09-29,30478.3189,0
654,2018-03-12,29790.8252,0
655,2018-03-13,28105.743,0
656,2018-03-14,24322.111,0
657,2018-03-15,22919.483,1
658,2018-03-16,19208.885,0
659,2018-03-19,18470.984,1
660,2018-03-20,20744.937,1
661,2018-03-21,18000.64,1
662,2018-03-22,15792.566,1
663,2018-03-23,17969.321,1
664,2018-03-26,15955.641,1
665,2018-03-27,17560.188,0
666,2018-03-28,17300.906,0
667,2018-03-29,15551.09,0
668,2018-03-30,13878.114,1
669,2018-04-02,14005.458,1
670,2018-04-03,15055.192,1
671,2018-04-04,16246.717,1
672,2018-04-09,16997.928,1
673,2018-04-10,14247.933,1
674,2018-04-11,13413.257,1
675,2018-04-12,13589.012,1
676,2018-04-13,14014.915,1
677,2018-04-16,12477.301,1
678,2018-04-17,11809.728,1
679,2018-04-18,11606.194,1
680,2018-04-19,11523.499,1
681,2018-04-20,11320.448,1
682,2018-04-23,10595.221,1
683,2018-04-24,15787.187,1
684,2018-04-26,15753.749,1
685,2018-04-27,14776.645,1
686,2018-05-02,13918.08,1
687,2018-05-03,14285.002,1
688,2018-05-04,14690.118,1
689,2018-05-07,13043.126,1
690,2018-05-08,21594.557,1
691,2018-05-09,20810.018,1
692,2018-05-10,18803.474,1
693,2018-05-11,21005.652,1
694,2018-05-14,25162.484,1
695,2018-05-15,18223.989,1
696,2018-05-16,18790.78,1
697,2018-05-17,25652.405,1
698,2018-05-18,24450.174,1
699,2018-05-21,29051.083,1
700,2018-05-22,30002.917,1
701,2018-05-23,30000.102,1
702,2018-05-24,30004.851,1
703,2018-05-25,30000.23,1
704,2018-05-28,30007.709,1
705,2018-05-29,30007.779,1
706,2018-05-30,30005.869,0
707,2018-05-31,30015.107,0
708,2018-06-01,30000.5852,0
709,2018-06-04,30008.6972,0
710,2018-06-05,29806.3795,0
711,2018-06-06,22578.7833,1
712,2018-06-07,14542.4162,0
713,2018-06-08,18050.3501,0
714,2018-06-11,17407.6502,0
715,2018-06-12,11704.4875,0
716,2018-06-13,11281.2284,0
717,2018-06-14,11111.0482,0
718,2018-06-15,9550.3178,0
719,2018-06-19,12153.7519,0
720,2018-06-20,9407.1227,1
721,2018-06-21,9229.9792,0
722,2018-06-22,8540.7108,0
723,2018-06-25,10048.673,0
724,2018-06-26,17669.4532,0
725,2018-06-27,17495.8667,0
726,2018-06-28,17287.4289,0
727,2018-06-29,15588.425,0
728,2018-07-02,14601.1306,0
729,2018-07-03,18056.3116,0
730,2018-07-04,14992.7382,0
731,2018-07-05,19155.8708,1
732,2018-07-06,12155.9756,1
733,2018-07-09,14942.8398,1
734,2018-07-10,13889.499,1
735,2018-07-11,16021.9672,1
736,2018-07-12,16306.7622,1
737,2018-07-13,16138.798,0
738,2018-07-16,19370.038,0
739,2018-07-17,15686.584,0
740,2018-07-18,17178.671,1
741,2018-07-19,14375.61,1
742,2018-07-20,17424.3641,0
743,2018-07-23,17620.7917,1
744,2018-07-24,18996.2642,1
745,2018-07-25,20749.8918,1
746,2018-07-26,21162.8483,1
747,2018-07-27,21571.3771,1
748,2018-07-30,18942.9941,1
749,2018-07-31,12017.5722,1
750,2018-08-01,16235.2282,1
751,2018-08-02,16537.0022,1
752,2018-08-03,14984.9681,1
753,2018-08-06,16090.811,1
754,2018-08-07,13566.1391,0
755,2018-08-08,10426.5396,0
756,2018-08-09,13409.2396,0
757,2018-08-10,10408.7471,0
758,2018-08-13,9359.6933,0
759,2018-08-14,7945.0715,0
760,2018-08-15,5022.945,1
761,2018-08-16,4490.6916,1
762,2018-08-17,3309.3001,1
763,2018-08-20,1544.863,1
764,2018-08-21,13452.7,1
765,2018-08-22,25807.5043,0
766,2018-08-23,16951.5169,0
767,2018-08-24,26724.2055,0
768,2018-08-27,23310.9345,1
769,2018-08-28,29278.856,0
770,2018-08-29,14219.1286,0
771,2018-08-30,26396.5079,0
772,2018-08-31,17847.244,0
773,2018-09-03,25695.1033,0
774,2018-09-04,17678.7502,0
775,2018-09-05,23235.698,1
776,2018-09-06,28613.7477,0
777,2018-09-07,16587.7094,0
778,2018-09-10,21611.8971,1
779,2018-09-11,16184.3965,0
780,2018-09-12,25642.7037,0
781,2018-09-13,20714.9774,0
782,2018-09-14,20077.2365,0
783,2018-09-17,23195.9587,0
784,2018-09-18,12192.6234,0
785,2018-09-19,24620.8618,0
786,2018-09-20,12306.7724,0
787,2018-09-21,21688.0573,0
788,2018-09-25,9892.9488,0
789,2018-09-26,21945.0699,0
790,2018-09-27,13159.0493,0
791,2018-09-28,17480.8565,0
792,2019-05-06,20655.7506,0
793,2019-05-07,10060.293,0
794,2019-05-08,10016.0599,0
795,2019-05-09,11024.9614,0
796,2019-05-10,11403.7138,0
797,2019-05-13,11213.824,0
798,2019-05-14,11594.6737,0
799,2019-05-15,8883.6501,0
800,2019-05-16,9851.3647,0
801,2019-05-17,9760.6377,0
802,2019-05-20,6565.9317,0
803,2019-05-21,11275.2663,0
804,2019-05-22,11046.6545,0
805,2019-05-23,10277.1909,1
806,2019-05-24,8801.0935,1
807,2019-05-27,8448.6252,0
808,2019-05-28,9012.2741,0
809,2019-05-29,8393.4121,0
810,2019-05-30,8294.988,0
811,2019-05-31,8834.2905,0
812,2019-06-03,8146.5367,0
813,2019-06-04,6142.1808,1
814,2019-06-05,5454.0114,1
815,2019-06-06,5416.983,1
816,2019-06-10,3813.267,1
817,2019-06-11,5052.5776,1
818,2019-06-12,4646.4566,1
819,2019-06-13,6452.1016,1
820,2019-06-14,7996.4978,1
821,2019-06-17,7172.9694,1
822,2019-06-18,8748.1944,1
823,2019-06-19,9022.0695,1
824,2019-06-20,9699.974,0
825,2019-06-21,9904.9488,0
826,2019-06-24,9332.9368,1
827,2019-06-25,10117.3171,1
828,2019-06-26,10139.8465,1
829,2019-06-27,10432.7109,0
830,2019-06-28,10844.1317,1
831,2019-07-01,10867.2264,0
832,2019-07-02,10986.9903,0
833,2019-07-03,11880.9623,0
834,2019-07-04,11933.2157,0
835,2019-07-05,11940.0535,0
836,2019-07-08,12182.0584,0
837,2019-07-09,12050.9932,0
838,2019-07-10,10010.5264,0
839,2019-07-11,11083.1486,0
840,2019-07-12,10695.957,0
841,2019-07-15,10612.2728,1
842,2019-07-16,10108.6451,1
843,2019-07-17,10593.2201,1
844,2019-07-18,10084.7505,1
845,2019-07-19,10171.4952,1
846,2019-07-22,10503.7336,1
847,2019-07-23,10122.3535,0
848,2019-07-24,10528.138,1
849,2019-07-25,9966.6752,0
850,2019-07-26,10314.5021,0
851,2019-07-29,10042.5402,0
852,2019-07-30,9807.6225,0
853,2019-07-31,10440.5533,0
854,2019-08-01,9314.133,0
855,2019-08-02,8762.457,0
856,2019-08-05,7529.3337,1
857,2019-08-06,4938.0087,1
858,2019-08-07,2841.887,1
859,2019-08-08,2797.073,1
860,2019-08-09,2112.4067,1
861,2019-08-12,3120.377,1
862,2019-08-13,8981.2078,1
863,2019-08-14,9656.1536,0
864,2019-08-15,11233.9737,0
865,2019-08-16,10596.061,0
866,2019-08-19,10753.1595,0
867,2019-08-20,11024.2025,0
868,2019-08-21,10462.6953,0
869,2019-08-22,10454.8208,0
870,2019-08-23,9447.0568,0
871,2019-08-26,10438.2598,0
872,2019-08-27,6845.0503,1
873,2019-08-28,8120.4929,1
874,2019-08-29,7710.8096,1
875,2019-08-30,7348.8337,1
876,2019-09-02,6119.011,1
877,2019-09-03,10226.9379,1
878,2019-09-04,11197.2758,1
879,2019-09-05,10939.6264,1
880,2019-09-06,10987.2471,1
881,2019-09-09,11920.0624,1
882,2019-09-10,11811.5535,1
883,2019-09-11,11880.8379,0
884,2019-09-12,11979.4029,0
885,2019-09-16,11860.341,0
886,2019-09-17,11940.0042,0
887,2019-09-18,11349.335,0
888,2019-09-19,11849.1184,0
889,2019-09-20,11861.5251,0
890,2019-09-23,11676.7238,0
891,2019-09-24,11550.0778,0
892,2019-09-25,11340.0919,0
893,2019-09-26,10396.6736,0
894,2019-09-27,7752.612,0
895,2019-09-30,5714.3164,0
896,2020-07-01,10011.419,0
897,2020-07-02,8035.232,1
898,2020-07-03,8036.469,1
899,2020-07-06,8060.2184,1
900,2020-07-07,8073.8181,0
901,2020-07-08,8041.9553,1
902,2020-07-09,8068.2134,1
903,2020-07-10,8033.28,0
904,2020-07-13,8096.635,0
905,2020-07-14,8048.7439,0
906,2020-07-15,8027.3804,1
907,2020-07-16,8007.905,0
908,2020-07-17,8048.727,1
909,2020-07-20,8085.405,0
910,2020-07-21,8123.877,0
911,2020-07-22,8592.978,0
912,2020-07-23,8545.99,0
913,2020-07-24,8548.934,0
914,2020-07-27,8508.828,1
915,2020-07-28,8515.933,1
916,2020-07-29,8348.085,1
917,2020-07-30,8406.319,1
918,2020-07-31,8458.278,1
919,2020-08-03,8518.751,1
920,2020-08-04,8433.577,1
921,2020-08-05,9083.584,1
922,2020-08-06,9021.262,1
923,2020-08-07,9122.5312,1
924,2020-08-10,9055.7219,1
925,2020-08-11,8991.738,1
926,2020-08-12,9094.3251,1
927,2020-08-13,8967.875,0
928,2020-08-14,8948.583,1
929,2020-08-17,9051.67,1
930,2020-08-18,9026.194,1
931,2020-08-19,9061.269,1
932,2020-08-20,9031.758,1
933,2020-08-24,9003.902,1
934,2020-08-25,18042.386,1
935,2020-08-26,10099.152,1
936,2020-08-27,10042.159,1
937,2020-08-28,9981.435,0
938,2020-08-31,10230.182,0
939,2020-09-01,10168.81,0
