,date,basis_factor_shift,profit_factor_shift,consumption_factor_shift,y
232,2014-06-03,1682.0,3137.0,18808.5584,0
233,2014-06-04,1895.0,3068.0,19542.327,1
234,2014-06-05,1945.0,2936.0,12218.8286,0
235,2014-06-06,2050.0,3130.0,17219.32,1
236,2014-06-09,1939.0,3207.0,15821.5941,1
237,2014-06-10,2001.0,3297.0,15397.062,1
238,2014-06-11,1908.0,3309.0,15933.5786,0
239,2014-06-12,1865.0,3043.0,19009.9837,0
240,2014-06-13,1939.0,3150.0,15058.7813,1
241,2014-06-16,1922.0,3148.0,19578.8646,1
242,2014-06-17,1752.0,2954.0,13768.7071,0
243,2014-06-18,1831.0,2953.0,12002.6172,0
244,2014-06-19,1978.0,2787.0,9239.7341,0
245,2014-06-20,1878.0,2635.0,6173.3445,0
246,2014-06-23,1898.0,2984.0,12760.3385,0
247,2014-06-24,1875.0,2976.0,11389.7714,0
248,2014-06-25,1898.0,2974.0,13124.8437,0
249,2014-06-26,1937.0,3100.0,13018.4935,0
250,2014-06-27,1980.0,3238.0,9890.3739,0
251,2014-06-30,1967.0,3287.0,15507.6664,0
252,2014-07-01,1922.0,3243.0,12084.5372,0
253,2014-07-02,2074.0,3437.0,13182.0208,0
254,2014-07-03,2318.0,3436.0,12212.9758,0
255,2014-07-04,2523.0,3586.0,9848.6222,0
256,2014-07-07,2468.0,3659.0,14819.6915,0
257,2014-07-08,2799.0,3650.0,13097.4042,0
258,2014-07-09,2681.0,3902.0,12892.8354,0
259,2014-07-10,2768.0,3884.0,10415.2563,0
260,2014-07-11,2907.0,3948.0,10565.8456,1
261,2014-07-14,3043.0,4086.0,13522.4994,1
262,2014-07-15,3040.0,4160.0,10054.8249,1
263,2014-07-16,3040.0,4125.0,14904.4356,1
264,2014-07-17,2863.0,4185.0,8873.0197,1
265,2014-07-18,2891.0,4168.0,9785.3889,1
266,2014-07-21,2829.0,4151.0,13582.7537,0
267,2014-07-22,2794.0,4146.0,5929.737,0
268,2014-07-23,2612.0,4134.0,14065.5529,0
269,2014-07-24,2604.0,4110.0,12003.0632,0
270,2014-07-25,2713.0,4104.0,9992.5867,0
271,2014-07-28,2803.0,4404.0,12789.2455,1
272,2014-07-29,2837.0,4499.0,10196.3974,1
273,2014-07-30,2766.0,4420.0,7882.3459,1
274,2014-07-31,2747.0,4494.0,10990.554,1
275,2014-08-01,2759.0,4610.0,9910.1879,1
276,2014-08-04,3118.0,5768.0,20403.0239,1
277,2014-08-05,2627.0,5689.0,9606.4999,1
278,2014-08-06,2497.0,5534.0,21090.8715,1
279,2014-08-07,2445.0,5610.0,12012.4742,1
280,2014-08-08,2399.0,5516.0,8128.789,1
281,2014-08-11,2410.0,5551.0,10364.0906,0
282,2014-08-12,2190.0,5517.0,15494.6685,0
283,2014-08-13,2244.0,5478.0,14750.5062,0
284,2014-08-14,2353.0,5624.0,15553.8985,0
285,2014-08-15,2289.0,5416.0,9038.4299,0
286,2014-08-18,2356.0,5449.0,20617.3068,0
287,2014-08-19,2674.0,5524.0,3130.2761,1
288,2014-08-20,2748.0,5577.0,27221.5457,1
289,2014-08-21,2667.0,5428.0,21519.2971,0
290,2014-08-22,2541.0,5205.0,17608.5188,0
291,2014-08-25,2711.0,5205.0,18124.6621,0
292,2014-08-26,2695.0,5204.0,23479.5479,0
293,2014-08-27,2462.0,5170.0,18427.1949,0
294,2014-08-28,2517.0,5069.0,17169.9016,0
295,2014-08-29,2730.0,5021.0,16326.9689,0
296,2015-07-10,2767.0,5134.0,18391.4414,0
297,2015-07-13,238.0,1809.0,8704.0,0
298,2015-07-14,348.0,1847.0,5043.653,0
299,2015-07-15,436.0,1845.0,4090.1267,0
300,2015-07-16,465.0,1747.0,1044.4023,0
301,2015-07-17,520.0,1945.0,2715.2521,1
302,2015-07-20,515.0,1888.0,1952.9304,1
303,2015-07-21,440.0,1878.0,3273.0006,1
304,2015-07-22,434.0,1942.0,2381.6929,1
305,2015-07-23,456.0,2018.0,4027.5046,1
306,2015-07-24,469.0,1988.0,996.9875,0
307,2015-07-27,413.0,1964.0,871.1678,0
308,2015-07-28,445.0,1961.0,1020.5344,0
309,2015-07-29,345.0,2063.0,733.7273,0
310,2015-07-30,389.0,1947.0,1232.0395,0
311,2015-07-31,393.0,2033.0,217.5271,0
312,2015-08-03,503.0,2067.0,697.0477,0
313,2015-08-04,466.0,1843.0,964.6,0
