,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,轻纺城棉布日成交量|DZ,2014-06-20,2021-11-23,,35.0,,
256,轻纺城棉布日成交量|DZ,2015-03-16,2021-11-23,,24.0,,
257,轻纺城棉布日成交量|DZ,2015-03-17,2021-11-23,,30.0,,
258,轻纺城棉布日成交量|DZ,2015-03-18,2021-11-23,,27.0,,
259,轻纺城棉布日成交量|DZ,2015-03-19,2021-11-23,,35.0,,
260,轻纺城棉布日成交量|DZ,2015-03-20,2021-11-23,,38.0,,
261,轻纺城棉布日成交量|DZ,2015-03-21,2021-11-23,,52.0,,
262,轻纺城棉布日成交量|DZ,2015-03-22,2021-11-23,,36.0,,
263,轻纺城棉布日成交量|DZ,2015-03-23,2021-11-23,,29.0,,
264,轻纺城棉布日成交量|DZ,2015-03-24,2021-11-23,,35.0,,
265,轻纺城棉布日成交量|DZ,2015-03-25,2021-11-23,,40.0,,
266,轻纺城棉布日成交量|DZ,2015-03-26,2021-11-23,,43.0,,
267,轻纺城棉布日成交量|DZ,2015-03-27,2021-11-23,,47.0,,
268,轻纺城棉布日成交量|DZ,2015-03-28,2021-11-23,,61.0,,
269,轻纺城棉布日成交量|DZ,2015-03-29,2021-11-23,,44.0,,
270,轻纺城棉布日成交量|DZ,2015-03-30,2021-11-23,,32.0,,
271,轻纺城棉布日成交量|DZ,2015-03-31,2021-11-23,,38.0,,
272,轻纺城棉布日成交量|DZ,2015-04-01,2021-11-23,,43.0,,
273,轻纺城棉布日成交量|DZ,2015-04-02,2021-11-23,,46.0,,
274,轻纺城棉布日成交量|DZ,2015-04-03,2021-11-23,,50.0,,
275,轻纺城棉布日成交量|DZ,2015-04-04,2021-11-23,,69.0,,
276,轻纺城棉布日成交量|DZ,2015-04-05,2021-11-23,,40.0,,
277,轻纺城棉布日成交量|DZ,2015-04-06,2021-11-23,,25.0,,
278,轻纺城棉布日成交量|DZ,2015-04-07,2021-11-23,,37.0,,
279,轻纺城棉布日成交量|DZ,2015-04-08,2021-11-23,,41.0,,
280,轻纺城棉布日成交量|DZ,2015-04-09,2021-11-23,,52.0,,
281,轻纺城棉布日成交量|DZ,2015-04-10,2021-11-23,,58.0,,
282,轻纺城棉布日成交量|DZ,2015-04-11,2021-11-23,,84.0,,
283,轻纺城棉布日成交量|DZ,2015-04-12,2021-11-23,,63.0,,
284,轻纺城棉布日成交量|DZ,2015-04-13,2021-11-23,,39.0,,
285,轻纺城棉布日成交量|DZ,2015-04-14,2021-11-23,,46.0,,
286,轻纺城棉布日成交量|DZ,2015-04-15,2021-11-23,,60.0,,
287,轻纺城棉布日成交量|DZ,2015-04-16,2021-11-23,,64.0,,
288,轻纺城棉布日成交量|DZ,2015-04-17,2021-11-23,,70.0,,
289,轻纺城棉布日成交量|DZ,2015-04-18,2021-11-23,,85.0,,
290,轻纺城棉布日成交量|DZ,2015-04-19,2021-11-23,,57.0,,
291,轻纺城棉布日成交量|DZ,2015-04-20,2021-11-23,,31.0,,
292,轻纺城棉布日成交量|DZ,2015-04-21,2021-11-23,,42.0,,
293,轻纺城棉布日成交量|DZ,2015-04-22,2021-11-23,,48.0,,
294,轻纺城棉布日成交量|DZ,2015-04-23,2021-11-23,,56.0,,
295,轻纺城棉布日成交量|DZ,2015-04-24,2021-11-23,,60.0,,
296,轻纺城棉布日成交量|DZ,2015-04-25,2021-11-23,,73.0,,
297,轻纺城棉布日成交量|DZ,2015-04-26,2021-11-23,,45.0,,
298,轻纺城棉布日成交量|DZ,2015-04-27,2021-11-23,,39.0,,
299,轻纺城棉布日成交量|DZ,2015-04-28,2021-11-23,,47.0,,
300,轻纺城棉布日成交量|DZ,2015-04-29,2021-11-23,,58.0,,
301,轻纺城棉布日成交量|DZ,2015-04-30,2021-11-23,,63.0,,
302,轻纺城棉布日成交量|DZ,2015-05-01,2021-11-23,,51.0,,
303,轻纺城棉布日成交量|DZ,2015-05-02,2021-11-23,,34.0,,
304,轻纺城棉布日成交量|DZ,2015-05-03,2021-11-23,,22.0,,
305,轻纺城棉布日成交量|DZ,2015-05-04,2021-11-23,,30.0,,
306,轻纺城棉布日成交量|DZ,2015-05-05,2021-11-23,,36.0,,
307,轻纺城棉布日成交量|DZ,2015-05-06,2021-11-23,,43.0,,
308,轻纺城棉布日成交量|DZ,2015-05-07,2021-11-23,,50.0,,
309,轻纺城棉布日成交量|DZ,2015-05-08,2021-11-23,,55.0,,
310,轻纺城棉布日成交量|DZ,2015-05-09,2021-11-23,,59.0,,
311,轻纺城棉布日成交量|DZ,2015-05-10,2021-11-23,,37.0,,
312,轻纺城棉布日成交量|DZ,2015-05-11,2021-11-23,,34.0,,
313,轻纺城棉布日成交量|DZ,2015-05-12,2021-11-23,,41.0,,
314,轻纺城棉布日成交量|DZ,2015-05-13,2021-11-23,,46.0,,
315,轻纺城棉布日成交量|DZ,2015-05-14,2021-11-23,,52.0,,
316,轻纺城棉布日成交量|DZ,2015-05-15,2021-11-23,,56.0,,
317,轻纺城棉布日成交量|DZ,2015-05-16,2021-11-23,,78.0,,
318,轻纺城棉布日成交量|DZ,2015-05-17,2021-11-23,,33.0,,
319,轻纺城棉布日成交量|DZ,2015-05-18,2021-11-23,,30.0,,
320,轻纺城棉布日成交量|DZ,2015-05-19,2021-11-23,,35.0,,
321,轻纺城棉布日成交量|DZ,2015-05-20,2021-11-23,,39.0,,
322,轻纺城棉布日成交量|DZ,2015-05-21,2021-11-23,,44.0,,
323,轻纺城棉布日成交量|DZ,2015-05-22,2021-11-23,,51.0,,
324,轻纺城棉布日成交量|DZ,2015-05-23,2021-11-23,,77.0,,
325,轻纺城棉布日成交量|DZ,2015-05-24,2021-11-23,,42.0,,
326,轻纺城棉布日成交量|DZ,2015-05-25,2021-11-23,,28.0,,
327,轻纺城棉布日成交量|DZ,2015-05-26,2021-11-23,,34.0,,
328,轻纺城棉布日成交量|DZ,2015-05-27,2021-11-23,,43.0,,
329,轻纺城棉布日成交量|DZ,2015-05-28,2021-11-23,,49.0,,
